company,warehouse,variable,prefix,postfix,length,currentNumber,rollover
20901,WMOR,cycle-count-batch-id,CB,,10,0,true
20901,WMOR,LPN,L,,10,0,true
20901,WMOR,receipt-number,RECPT,,10,0,true
20901,WMOR,shipment-number,SHIP,,10,0,true
20901,WMOR,shipment-line-number,SL,,10,0,true
20901,WMOR,wave-number,WAV,,10,0,true
20901,WMOR,pick-number,PICK,,10,0,true
20901,WMOR,work-order-number,WO,,10,0,true
20901,WMOR,cancelled-pick-number,CPK,,10,0,true
20901,WMOR,inventory-activity-transaction-id,INVACT,,10,0,true
20901,WMOR,inventory-activity-transaction-group-id,INVACTGRP,,10,0,true
20901,WMOR,list-pick,LPICK,,10,0,true
20901,WMOR,cartonization-number,CTN,,10,0,true
20901,WMOR,shipping-cartonization-number,SCTN,,10,0,true
20901,WMOR,production-plan,PRP,,10,0,true
20901,WMOR,bill-of-material,BOM,,10,0,true
20901,WMOR,work-task,WORK,,10,0,true
