company,warehouse,variable,prefix,postfix,length,currentNumber,rollover
21021,WMLA,cycle-count-batch-id,CB,,10,0,true
21021,WMLA,LPN,L,,10,0,true
21021,WMLA,receipt-number,RECPT,,10,0,true
21021,WMLA,shipment-number,SHIP,,10,0,true
21021,WMLA,shipment-line-number,SL,,10,0,true
21021,WMLA,wave-number,WAV,,10,0,true
21021,WMLA,pick-number,PICK,,10,0,true
21021,WMLA,work-order-number,WO,,10,0,true
21021,WMLA,cancelled-pick-number,CPK,,10,0,true
21021,WMLA,inventory-activity-transaction-id,INVACT,,10,0,true
21021,WMLA,inventory-activity-transaction-group-id,INVACTGRP,,10,0,true
21021,WMLA,list-pick,LPICK,,10,0,true
21021,WMLA,cartonization-number,CTN,,10,0,true
21021,WMLA,shipping-cartonization-number,SCTN,,10,0,true
21021,WMLA,production-plan,PRP,,10,0,true
21021,WMLA,bill-of-material,BOM,,10,0,true
21021,WMLA,work-task,WORK,,10,0,true
