warehouse,receipt,number,item,expectedQuantity,receivedQuantity,overReceivingQuantity,overReceivingPercent
WMOR,RECPT000001,1,10001,500,0,0,0
WMOR,RECPT000001,2,10002,600,0,0,0
WMOR,RECPT000001,3,10003,400,0,0,0
WMOR,RECPT000001,4,10004,100,0,0,0
WMOR,RECPT000001,5,10005,200,0,0,0
WMOR,RECPT000002,1,10006,2000,0,0,0
WMOR,RECPT000002,2,10007,5000,0,0,0
WMOR,RECPT000003,1,20001,5000,0,0,0
WMOR,RECPT000003,2,20002,5000,0,0,0
WMOR,RECPT000003,3,20003,5000,0,0,0
WMOR,RECPT000003,4,20004,5000,0,0,0
WMOR,RECPT000004,1,20005,1000,0,0,0
WMOR,RECPT000004,2,20007,9000,0,0,0
WMOR,RECPT000005,1,20006,100,0,0,0
WMOR,RECPT000006,1,30001,1000,0,0,0
WMOR,RECPT000007,1,30002,2000,0,0,0
