company,warehouse,lpn,location,item,itemPackageType,quantity,inventoryStatus
20901,WMEC,LPN00001,B1A,4GBGS-19-BLUE-0009,1X1X1,100000000,AVAL
20901,WMEC,LPN00002,B1B,VL-DD-10-0009,1X1X1,100000000,AVAL
20901,WMEC,LPN00003,B1C,4GBGS-19-BLUE-BODY-0009,1X1X1,100000000,AVAL
20901,WMEC,LPN00004,B1D,4GBGS-19-BLUE-Screen-0009,1X1X1,100000000,AVAL
20901,WMEC,LPN00005,B1E,C-4GBGS-19-PRP,1X1X1,100000000,AVAL
20901,WMEC,LPN00006,B1F,E33-004-004,1X1X1,100000000,AVAL
20901,WMEC,LPN00007,B1H,E33-004-005,1X1X1,100000000,AVAL
20901,WMEC,LPN00008,B1I,E40-006-001,1X1X1,100000000,AVAL
20901,WMEC,LPN00009,B1J,TAPE-CL-0.75IN,1X1X1,100000000,AVAL
20901,WMEC,LPN00010,B1K,C-VL-DD-10,1X1X1,100000000,AVAL
20901,WMEC,LPN00011,B2A,L-VL-DD-10,1X1X1,100000000,AVAL
20901,WMEC,LPN00012,B2B,L-VL-DD-10-Instruction,1X1X1,100000000,AVAL
20901,WMEC,LPN00013,B2C,TAPE-CL-0.75IN,1X1X1,100000000,AVAL
20901,WMEC,LPN00014,B2D,VL-DD-10-Bowl-0005,1X1X1,100000000,AVAL
20901,WMEC,LPN00015,B2E,VL-DD-10-Frame-0009,1X1X1,100000000,AVAL
20901,WMEC,LPN00016,B2F,VL-DD-10-Leg-0005,1X1X1,100000000,AVAL
20901,WMEC,LPN00017,B2G,VL-DD-10-Bowl-0005,1X1X1,100000000,AVAL
20901,WMEC,LPN00018,B2H,VL-DD-10-Bowl-0005,1X1X1,100000000,AVAL
20901,WMEC,LPN00019,B2I,VL-DD-10-Bowl-0005,1X1X1,100000000,AVAL
20901,WMEC,LPN00020,B2J,C-4GBGS-19,1X1X1,100000000,AVAL
20901,WMEC,LPN00021,B3A,20-RW-2,1X1X1,100000000,AVAL
20901,WMEC,LPN00022,B3B,PP-C-30-PM513209,1X1X1,100000000,AVAL
