warehouse,lpn,location,item,itemPackageType,quantity,inventoryStatus
WMOR,L00000001,EA-HV-012,10001,1X6X12,12,AVAL
WMOR,L00000003,EA-HV-018,10002,1X6X12,15,AVAL
WMOR,L00000004,EA-HV-001,10003,1X6X12,17,AVAL
WMOR,L00000005,EA-FRZ-037,30001,1X3X36,5,AVAL
WMOR,L00000006,EA-FRZ-043,30002,1X3X36,25,AVAL
WMOR,L00000007,EA-FRZ-045,30001,1X3X36,14,AVAL
WMOR,L00000010,CS-HV-014,10006,1X6X12,60,AVAL
WMOR,L00000011,CS-HV-027,10003,1X6X12,60,AVAL
WMOR,L00000012,CS-FRZ-045,30001,1X3X36,108,AVAL
WMOR,L00000014,PA-HV-001,10003,1X6X12,72,AVAL
WMOR,L00000015,PA-HV-007,10001,1X6X12,72,AVAL
WMOR,L00000016,PA-HV-015,10006,1X6X12,72,AVAL
WMOR,L00000017,EA-111-001,40001,1X6X12,16,AVAL
WMOR,L00000018,EA-111-002,40002,1X6X12,13,AVAL
WMOR,L00000019,EA-111-003,40003,1X6X12,12,AVAL
WMOR,L00000020,EA-111-004,40004,1X6X12,7,AVAL
WMOR,L00000021,EA-111-005,40005,1X6X12,11,AVAL
WMOR,L00000022,EA-111-006,40006,1X6X12,5,AVAL
WMOR,L00000024,CS-111-001,40001,1X6X12,72,AVAL
WMOR,L00000025,CS-111-002,40002,1X6X12,72,AVAL
WMOR,L00000026,CS-111-003,40003,1X6X12,72,AVAL
WMOR,L00000027,CS-111-004,40004,1X6X12,72,AVAL
WMOR,L00000028,PA-111-001,40001,1X6X12,360,AVAL
WMOR,L00000029,PA-111-002,40002,1X6X12,360,AVAL
WMOR,L00000030,PA-111-003,40003,1X6X12,360,AVAL
WMOR,L00000031,PA-111-004,40004,1X6X12,360,AVAL
