company,warehouse,item,client,supplier,name,description
20901,WMEC,6420704,,,1X6X12,1X6X12
20901,WMEC,22570P-00-20,,,1X6X12,1X6X12
20901,WMEC,22570P-08-20,,,1X6X12,1X6X12
20901,WMEC,22570P-08-25,,,1X6X12,1X6X12
20901,WMEC,22570P-08-29,,,1X6X12,1X6X12
20901,WMEC,22570P-20-20,,,1X6X12,1X6X12
20901,WMEC,22570P-20-25,,,1X6X12,1X6X12
20901,WMEC,22570P-20-29,,,1X6X12,1X6X12
20901,WMEC,22570P-35-20,,,1X6X12,1X6X12
20901,WMEC,22570P-35-25,,,1X6X12,1X6X12
20901,WMEC,22570P-35-29,,,1X6X12,1X6X12
20901,WMEC,22570P-45-20,,,1X6X12,1X6X12
20901,WMEC,22570P-45-25,,,1X6X12,1X6X12
20901,WMEC,22570P-45-29,,,1X6X12,1X6X12
20901,WMEC,22570P-55-25,,,1X6X12,1X6X12
20901,WMEC,22570P-70-20,,,1X6X12,1X6X12
20901,WMEC,22570P-70-25,,,1X6X12,1X6X12
20901,WMEC,22570P-70-29,,,1X6X12,1X6X12
20901,WMEC,22570P-93-20,,,1X6X12,1X6X12
20901,WMEC,22570P-93-25,,,1X6X12,1X6X12
20901,WMEC,22570P-93-29,,,1X6X12,1X6X12
20901,WMEC,24 CAN,,,1X6X12,1X6X12
20901,WMEC,255-1,,,1X6X12,1X6X12
20901,WMEC,4GBGS-19-BLUE,,,1X6X12,1X6X12
20901,WMEC,5QT-ES2018-GREEN-HANDLE,,,1X6X12,1X6X12
20901,WMEC,5QT-ES2020-RED-HANDLE,,,1X6X12,1X6X12
20901,WMEC,7QDP-19-BLK,,,1X6X12,1X6X12
20901,WMEC,E34-005-004,,,1X6X12,1X6X12
20901,WMEC,E40-002-002-004,,,1X6X12,1X6X12
20901,WMEC,E40-002-002-006,,,1X6X12,1X6X12
20901,WMEC,E40-002-002-008,,,1X6X12,1X6X12
20901,WMEC,PP-RB-30,,,1X6X12,1X6X12
