company,warehouse,item,itemPackageType,unitOfMeasure,quantity,weight,length,width,height
20901,WMEC,4GBGS-19-BLUE-0009,1X1X1,PCS,1,1,1,1,1
20901,WMEC,VL-DD-10-0009,1X1X1,PCS,1,1,1,1,1
20901,WMEC,4GBGS-19-BLUE-BODY-0009,1X1X1,PCS,1,1,1,1,1
20901,WMEC,4GBGS-19-BLUE-Screen-0009,1X1X1,PCS,1,1,1,1,1
20901,WMEC,C-4GBGS-19-PRP,1X1X1,PCS,1,1,1,1,1
20901,WMEC,C-4GBGS-19,1X1X1,PCS,1,1,1,1,1
20901,WMEC,E33-004-004,1X1X1,PCS,1,1,1,1,1
20901,WMEC,E33-004-005,1X1X1,PCS,1,1,1,1,1
20901,WMEC,E40-006-001,1X1X1,PCS,1,1,1,1,1
20901,WMEC,TAPE-CL-0.75IN,1X1X1,PCS,1,1,1,1,1
20901,WMEC,C-VL-DD-10,1X1X1,PCS,1,1,1,1,1
20901,WMEC,L-VL-DD-10,1X1X1,PCS,1,1,1,1,1
20901,WMEC,L-VL-DD-10-Instruction,1X1X1,PCS,1,1,1,1,1
20901,WMEC,TAPE-CL-0.75IN,1X1X1,PCS,1,1,1,1,1
20901,WMEC,VL-DD-10-Bowl-0005,1X1X1,PCS,1,1,1,1,1
20901,WMEC,VL-DD-10-Frame-0009,1X1X1,PCS,1,1,1,1,1
20901,WMEC,VL-DD-10-Leg-0005,1X1X1,PCS,1,1,1,1,1
20901,WMEC,20-RW-2,1X1X1,PCS,1,1,1,1,1
20901,WMEC,PP-C-30-PM513209,1X1X1,PCS,1,1,1,1,1
