warehouse,name,description,client,itemFamily,unitCost,allowCartonization
WMOR,10001,IPHONE 11,,HIGH_VALUE,790,true
WMOR,10002,IPHONE 11 Xs,,HIGH_VALUE,990,true
WMOR,10003,IPHONE 11 Pro,,HIGH_VALUE,1190,true
WMOR,10004,IPHONE 10,,HIGH_VALUE,575,true
WMOR,10005,IPHONE 10 Xs,,HIGH_VALUE,675,true
WMOR,10006,Apple Watch 5 - GPS,,HIGH_VALUE,375,true
WMOR,10007,Apple Watch 5 - Cell,,HIGH_VALUE,450,true
WMOR,20001,Whole Milk,,LOW_TEMP,5,true
WMOR,20002,2% Milk,,LOW_TEMP,7,true
WMOR,20003,0% Milk,,LOW_TEMP,8,true
WMOR,20004,Children Milk,,LOW_TEMP,7.5,true
WMOR,20005,Starbucks Coffer,,LOW_TEMP,12,true
WMOR,20006,Butter,,LOW_TEMP,3,true
WMOR,20007,Coca Cola,,LOW_TEMP,3.79,true
WMOR,30001,Shrimp,,FROZEN,15,true
WMOR,30002,Craw Fish,,FROZEN,12.29,true
WMOR,30003,Dumpling,,FROZEN,5.79,true
