company,warehouse,name,aisle,x,y,z,length,width,height,pickSequence,putawaySequence,countSequence,capacity,fillPercentage,locationGroup,enabled
20901,WMEC,RSTG001,201,,,,320,240,48,20100000,20100000,20100000,3686400,100,RECV_STG,true
20901,WMEC,RSTG002,201,,,,320,240,48,20100001,20100001,20100001,3686400,100,RECV_STG,true
20901,WMEC,RSTG003,201,,,,320,240,48,20100002,20100002,20100002,3686400,100,RECV_STG,true
20901,WMEC,RSTG004,201,,,,320,240,48,20100003,20100003,20100003,3686400,100,RECV_STG,true
20901,WMEC,RSTG005,201,,,,320,240,48,20100004,20100004,20100004,3686400,100,RECV_STG,true
20901,WMEC,RSTG006,201,,,,320,240,48,20100005,20100005,20100005,3686400,100,RECV_STG,true
20901,WMEC,RSTG007,201,,,,320,240,48,20100006,20100006,20100006,3686400,100,RECV_STG,true
20901,WMEC,RSTG008,201,,,,320,240,48,20100007,20100007,20100007,3686400,100,RECV_STG,true
20901,WMEC,RSTG009,201,,,,320,240,48,20100008,20100008,20100008,3686400,100,RECV_STG,true
20901,WMEC,RSTG010,201,,,,320,240,48,20100009,20100009,20100009,3686400,100,RECV_STG,true
20901,WMEC,RSTG011,201,,,,320,240,48,20100010,20100010,20100010,3686400,100,RECV_STG,true
20901,WMEC,RSTG012,201,,,,320,240,48,20100011,20100011,20100011,3686400,100,RECV_STG,true
20901,WMEC,RSTG013,201,,,,320,240,48,20100012,20100012,20100012,3686400,100,RECV_STG,true
20901,WMEC,RSTG014,201,,,,320,240,48,20100013,20100013,20100013,3686400,100,RECV_STG,true
20901,WMEC,RSTG015,201,,,,320,240,48,20100014,20100014,20100014,3686400,100,RECV_STG,true
20901,WMEC,RSTG016,201,,,,320,240,48,20100015,20100015,20100015,3686400,100,RECV_STG,true
20901,WMEC,RSTG017,201,,,,320,240,48,20100016,20100016,20100016,3686400,100,RECV_STG,true
20901,WMEC,RSTG018,201,,,,320,240,48,20100017,20100017,20100017,3686400,100,RECV_STG,true
20901,WMEC,RSTG019,201,,,,320,240,48,20100018,20100018,20100018,3686400,100,RECV_STG,true
20901,WMEC,RSTG020,201,,,,320,240,48,20100019,20100019,20100019,3686400,100,RECV_STG,true
20901,WMEC,RSTG021,201,,,,320,240,48,20100020,20100020,20100020,3686400,100,RECV_STG,true
20901,WMEC,RSTG022,201,,,,320,240,48,20100021,20100021,20100021,3686400,100,RECV_STG,true
20901,WMEC,RSTG023,201,,,,320,240,48,20100022,20100022,20100022,3686400,100,RECV_STG,true
20901,WMEC,RSTG024,201,,,,320,240,48,20100023,20100023,20100023,3686400,100,RECV_STG,true
20901,WMEC,RSTG025,201,,,,320,240,48,20100024,20100024,20100024,3686400,100,RECV_STG,true
20901,WMEC,RSTG026,201,,,,320,240,48,20100025,20100025,20100025,3686400,100,RECV_STG,true
20901,WMEC,RSTG027,201,,,,320,240,48,20100026,20100026,20100026,3686400,100,RECV_STG,true
