warehouse,name,aisle,x,y,z,length,width,height,pickSequence,putawaySequence,countSequence,capacity,fillPercentage,locationGroup,enabled
WMOR,EA-111-001,111,,,,32,20,20,11100000,11100000,11100000,12800,100,EACH_PICK,true
WMOR,EA-111-002,111,,,,32,20,20,11100001,11100001,11100001,12800,100,EACH_PICK,true
WMOR,EA-111-003,111,,,,32,20,20,11100002,11100002,11100002,12800,100,EACH_PICK,true
WMOR,EA-111-004,111,,,,32,20,20,11100003,11100003,11100003,12800,100,EACH_PICK,true
WMOR,EA-111-005,111,,,,32,20,20,11100004,11100004,11100004,12800,100,EACH_PICK,true
WMOR,EA-111-006,111,,,,32,20,20,11100005,11100005,11100005,12800,100,EACH_PICK,true
WMOR,EA-111-007,111,,,,32,20,20,11100006,11100006,11100006,12800,100,EACH_PICK,true
WMOR,EA-111-008,111,,,,32,20,20,11100007,11100007,11100007,12800,100,EACH_PICK,true
WMOR,EA-111-009,111,,,,32,20,20,11100008,11100008,11100008,12800,100,EACH_PICK,true
WMOR,EA-111-010,111,,,,32,20,20,11100009,11100009,11100009,12800,100,EACH_PICK,true
WMOR,EA-111-011,111,,,,32,20,20,11100010,11100010,11100010,12800,100,EACH_PICK,true
WMOR,EA-111-012,111,,,,32,20,20,11100011,11100011,11100011,12800,100,EACH_PICK,true
WMOR,EA-111-013,111,,,,32,20,20,11100012,11100012,11100012,12800,100,EACH_PICK,true
WMOR,EA-111-014,111,,,,32,20,20,11100013,11100013,11100013,12800,100,EACH_PICK,true
WMOR,EA-111-015,111,,,,32,20,20,11100014,11100014,11100014,12800,100,EACH_PICK,true
WMOR,EA-111-016,111,,,,32,20,20,11100015,11100015,11100015,12800,100,EACH_PICK,true
WMOR,EA-111-017,111,,,,32,20,20,11100016,11100016,11100016,12800,100,EACH_PICK,true
WMOR,EA-111-018,111,,,,32,20,20,11100017,11100017,11100017,12800,100,EACH_PICK,true
WMOR,EA-111-019,111,,,,32,20,20,11100018,11100018,11100018,12800,100,EACH_PICK,true
WMOR,EA-111-020,111,,,,32,20,20,11100019,11100019,11100019,12800,100,EACH_PICK,true
WMOR,EA-111-021,111,,,,32,20,20,11100020,11100020,11100020,12800,100,EACH_PICK,true
WMOR,EA-111-022,111,,,,32,20,20,11100021,11100021,11100021,12800,100,EACH_PICK,true
WMOR,EA-111-023,111,,,,32,20,20,11100022,11100022,11100022,12800,100,EACH_PICK,true
WMOR,EA-111-024,111,,,,32,20,20,11100023,11100023,11100023,12800,100,EACH_PICK,true
WMOR,EA-111-025,111,,,,32,20,20,11100024,11100024,11100024,12800,100,EACH_PICK,true
WMOR,EA-111-026,111,,,,32,20,20,11100025,11100025,11100025,12800,100,EACH_PICK,true
WMOR,EA-111-027,111,,,,32,20,20,11100026,11100026,11100026,12800,100,EACH_PICK,true
WMOR,EA-111-028,111,,,,32,20,20,11100027,11100027,11100027,12800,100,EACH_PICK,true
WMOR,EA-111-029,111,,,,32,20,20,11100028,11100028,11100028,12800,100,EACH_PICK,true
WMOR,EA-111-030,111,,,,32,20,20,11100029,11100029,11100029,12800,100,EACH_PICK,true
WMOR,EA-111-031,111,,,,32,20,20,11100030,11100030,11100030,12800,100,EACH_PICK,true
