text,i18n,icon,shortcutRoot,sequence,link,badge,menuGroup,name
"Dashboard",menu.dashboard,anticon-dashboard,,1,,,User-Menu,User-Menu-Dashboard
"Authorization",menu.main.auth,anticon-team,,1,,,Main-Menu,Main-Menu-Auth
"Layout",menu.main.layout,anticon-appstore,,2,,,Main-Menu,Main-Menu-Layout
"Inventory",menu.main.inventory,anticon-star,,3,,,Main-Menu,Main-Menu-Inventory
"QC",menu.main.qc,anticon-star,,4,,,Main-Menu,Main-Menu-QC
"Inbound",menu.main.inbound,anticon-exception,,5,,,Main-Menu,Main-Menu-Inbound
"Outbound",menu.main.outbound,anticon-global,,6,,,Main-Menu,Main-Menu-Outbound
"WorkOrder",menu.main.work-order,anticon-hdd,,7,,,Main-Menu,Main-Menu-WorkOrder
"Integration",menu.main.integration,anticon-share-alt,,8,,,Main-Menu,Main-Menu-Integration
"Common",menu.main.common,anticon-setting,,9,,,Main-Menu,Main-Menu-Common
"WorkTask",menu.main.work-task,anticon-user,,10,,,Main-Menu,Main-Menu-WorkTask
"Report",menu.main.report,anticon-printer,,11,,,Main-Menu,Main-Menu-Report
"Util",menu.main.util,anticon-tool,,12,,,Main-Menu,Main-Menu-Util
"Inbound",menu.mobile.inbound,menu_inbound.png,,1,,,Mobile-Menu,Mobile-Menu-Inbound
"Outbound",menu.mobile.outbound,menu_outbound.jpg,,2,,,Mobile-Menu,Mobile-Menu-Outbound
"Inventory",menu.mobile.inventory,menu_inventory.png,,3,,,Mobile-Menu,Mobile-Menu-Inventory
"WorkOrder",menu.mobile.work-order,menu_workorder.png,,4,,,Mobile-Menu,Mobile-Menu-WorkOrder
