number,warehouse,billOfMaterial,item,inventoryStatus,expectedQuantity
1,WMEC,BOM-001,E34-005-004,AVAL,2
2,WMEC,BOM-001,E40-002-002-004,AVAL,3
3,WMEC,BOM-001,E40-002-002-006,AVAL,1
1,WMEC,BOM-002,E40-002-002-008,AVAL,7
2,WMEC,BOM-002,PP-RB-30,AVAL,3
1,WMEC,BOM-003,22570P-93-25,AVAL,1
2,WMEC,BOM-003,22570P-93-29,AVAL,2
1,WMEC,BOM-004,E34-005-004,AVAL,4
2,WMEC,BOM-004,E40-002-002-004,AVAL,4
3,WMEC,BOM-004,E40-002-002-006,AVAL,4
1,WMEC,BOM-005,E34-005-004,AVAL,5
2,WMEC,BOM-005,E40-002-002-004,AVAL,5
3,WMEC,BOM-005,E40-002-002-006,AVAL,5
1,WMEC,BOM-006,E34-005-004,AVAL,6
2,WMEC,BOM-006,E40-002-002-004,AVAL,6
3,WMEC,BOM-006,E40-002-002-006,AVAL,6
1,WMEC,BOM-007,E34-005-004,AVAL,7
2,WMEC,BOM-007,E40-002-002-004,AVAL,7
3,WMEC,BOM-007,E40-002-002-006,AVAL,7
1,WMEC,BOM-008,E34-005-004,AVAL,8
2,WMEC,BOM-008,E40-002-002-004,AVAL,8
3,WMEC,BOM-008,E40-002-002-006,AVAL,8
